City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
6,rikitea,PF,77.83,clear sky,-23.1203,-134.9692,People ThankYou
14,mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
21,iaciara,BR,82.26,overcast clouds,-14.0958,-46.6317,Hotel Matinha
25,georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
28,cape town,ZA,79.21,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
36,hithadhoo,MV,83.21,clear sky,-0.6,73.0833,Scoop Guest House
37,hambantota,LK,79.95,overcast clouds,6.1241,81.1185,Bungalow 63
39,hermanus,ZA,78.8,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
40,chokwe,MZ,75.4,clear sky,-24.5333,32.9833,Complexo Sonho Real
43,carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
46,butaritari,KI,79.68,moderate rain,3.0707,172.7902,Isles Sunset Lodge
51,madimba,TZ,83.52,moderate rain,-10.4,40.3333,
55,praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
59,padang,ID,77.18,overcast clouds,-0.9492,100.3543,Mercure Padang
64,kavieng,PG,82.02,light rain,-2.5744,150.7967,Nusa Island Retreat
65,bubaque,GW,77.34,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
66,faanui,PF,81.52,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,vanimo,PG,77.36,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
73,isangel,VU,78.49,clear sky,-19.55,169.2667,Tanna Lodge
79,bengkulu,ID,75.83,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
83,saint-joseph,RE,79.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
84,tessalit,ML,82.85,clear sky,20.1986,1.0114,
85,vao,NC,79.18,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
87,atuona,PF,77.97,light rain,-9.8,-139.0333,Villa Enata
88,port alfred,ZA,75.09,clear sky,-33.5906,26.891,The Halyards Hotel
91,manokwari,ID,78.49,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
97,hilo,US,75.61,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
102,avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
104,tual,ID,81.75,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
105,axim,GH,83.52,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
113,salinopolis,BR,75.78,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
115,capitao poco,BR,78.53,light rain,-1.7464,-47.0594,Hotel New Tokyo
118,arlit,NE,83.32,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
120,bangui,CF,78.98,few clouds,4.3612,18.555,SAM HOTEL
122,saint-leu,RE,79.66,light rain,-21.15,55.2833,La Caz Oceane
129,robertsport,LR,81.1,broken clouds,6.7533,-11.3686,Kwepunha Retreat
130,mvomero,TZ,78.94,scattered clouds,-6.25,38.6667,Kisampa Bush Retreat
135,alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
142,tabas,IR,80.26,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
143,pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
144,buala,SB,80.02,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
145,kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
146,kimbe,PG,75.4,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
150,saint-pierre,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
153,souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
155,maine-soroa,NE,82.44,overcast clouds,13.2114,12.0241,Complexe
156,bambous virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
163,tecoanapa,MX,83.17,few clouds,16.5167,-98.75,Hotel Manglares
165,kruisfontein,ZA,75.85,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
168,san cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
177,salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
186,rabaul,PG,79.29,overcast clouds,-4.1967,152.1721,Rabaul Hotel
190,wewak,PG,78.87,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
191,kirakira,SB,78.67,overcast clouds,-10.4544,161.9205,SanBiz Lodge
192,tombouctou,ML,81.82,clear sky,20.0,-3.0,
193,saldanha,ZA,82.45,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
195,qandala,SO,79.2,broken clouds,11.472,49.8728,
198,sinnamary,GF,79.68,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
199,taoudenni,ML,81.37,clear sky,22.6783,-3.9836,
204,kudahuvadhoo,MV,83.17,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
208,bull savanna,JM,83.88,clear sky,17.8868,-77.5902,Big Red's
211,caravelas,BR,84.25,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
213,ormara,PK,76.05,scattered clouds,25.2088,64.6357,Kenara Colony house for Rent
214,waingapu,ID,79.29,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
216,sibolga,ID,77.11,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
220,ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
223,tapiramuta,BR,78.73,overcast clouds,-11.8472,-40.7914,Casa Alencar
224,road town,VG,84.29,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
225,sri aman,MY,78.85,broken clouds,1.2376,111.4621,Seri Simanggang Hotel
230,bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
236,dingle,PH,76.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
243,tautira,PF,80.37,scattered clouds,-17.7333,-149.15,Pension Oaoa
244,phan thiet,VN,76.62,overcast clouds,10.9333,108.1,Hotel Saigon-PT
246,mina,MX,84.22,clear sky,26.0011,-100.5299,Mina ctl
247,kupang,ID,77.52,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
250,indramayu,ID,79.3,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
