City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,salalah,OM,2022-03-11 06:53:58,17.0151,54.0924,82.78,32,0,6.58
1,tuktoyaktuk,CA,2022-03-11 06:53:58,69.4541,-133.0374,-23.8,69,75,8.05
2,husavik,IS,2022-03-11 06:53:59,66.0449,-17.3389,39.49,85,100,10.8
3,vaini,TO,2022-03-11 06:53:59,-21.2,-175.2,78.96,94,75,2.3
4,klaksvik,FO,2022-03-11 06:54:00,62.2266,-6.589,43.72,84,1,26.64
5,port elizabeth,ZA,2022-03-11 06:54:00,-33.918,25.5701,76.1,94,100,5.75
6,vila franca do campo,PT,2022-03-11 06:54:00,37.7167,-25.4333,57.61,67,100,10.69
7,cape town,ZA,2022-03-11 06:52:55,-33.9258,18.4232,78.12,67,0,1.14
8,victoria,HK,2022-03-11 06:51:17,22.2855,114.1577,78.96,73,37,8.01
9,ancud,CL,2022-03-11 06:54:01,-41.8697,-73.8203,54.23,94,10,5.3
10,butaritari,KI,2022-03-11 06:54:01,3.0707,172.7902,80.98,81,100,17.54
11,tshela,CD,2022-03-11 06:54:02,-4.9833,12.9333,75.0,97,100,1.57
12,yining,CN,2022-03-11 06:54:02,29.0361,114.5636,80.98,43,16,1.05
13,kodiak,US,2022-03-11 06:53:03,57.79,-152.4072,36.91,87,100,0.0
14,bredasdorp,ZA,2022-03-11 06:54:02,-34.5322,20.0403,70.92,73,53,12.66
15,bilma,NE,2022-03-11 06:54:03,18.6853,12.9164,66.16,23,8,8.19
16,kapaa,US,2022-03-11 06:54:03,22.0752,-159.319,73.11,59,14,9.06
17,touros,BR,2022-03-11 06:54:04,-5.1989,-35.4608,78.57,82,100,11.77
18,cochrane,CA,2022-03-11 06:52:52,51.1834,-114.4687,12.51,71,0,4.61
19,chapais,CA,2022-03-11 06:54:04,49.7834,-74.8492,-4.22,99,95,2.73
20,cidreira,BR,2022-03-11 06:54:04,-30.1811,-50.2056,72.57,93,100,4.79
21,bluff,NZ,2022-03-11 06:54:05,-46.6,168.3333,67.1,58,0,17.83
22,arlit,NE,2022-03-11 06:54:05,18.7369,7.3853,72.21,20,6,4.47
23,chuy,UY,2022-03-11 06:51:10,-33.6971,-53.4616,61.7,72,98,7.65
24,ixtapa,MX,2022-03-11 06:54:05,20.7,-105.2,66.22,83,1,2.84
25,avera,US,2022-03-11 06:54:06,33.194,-82.5271,52.38,83,100,6.38
26,saint-philippe,RE,2022-03-11 06:54:06,-21.3585,55.7679,87.39,80,38,10.76
27,mataura,NZ,2022-03-11 06:54:06,-46.1927,168.8643,67.93,57,71,6.89
28,bodden town,KY,2022-03-11 06:54:07,19.2833,-81.25,77.94,79,0,3.0
29,ushuaia,AR,2022-03-11 06:50:12,-54.8,-68.3,53.26,66,40,5.75
30,melo,UY,2022-03-11 06:54:07,-32.3667,-54.1833,58.42,92,74,8.93
31,severnoye,RU,2022-03-11 06:54:07,56.3491,78.3619,2.73,81,12,5.99
32,hermanus,ZA,2022-03-11 06:54:08,-34.4187,19.2345,73.8,70,100,9.19
33,bengkulu,ID,2022-03-11 06:54:08,-3.8004,102.2655,81.54,84,90,17.22
34,new norfolk,AU,2022-03-11 06:54:08,-42.7826,147.0587,67.66,44,98,4.0
35,atar,MR,2022-03-11 06:54:09,20.5169,-13.0499,65.79,13,0,9.98
36,jamestown,US,2022-03-11 06:49:50,42.097,-79.2353,28.04,54,20,1.99
37,lahaina,US,2022-03-11 06:54:09,20.8783,-156.6825,76.8,85,22,6.15
38,anloga,GH,2022-03-11 06:54:09,5.7947,0.8973,82.35,83,100,10.29
39,opuwo,NA,2022-03-11 06:54:10,-18.0607,13.84,74.98,66,98,11.1
40,port alfred,ZA,2022-03-11 06:54:10,-33.5906,26.891,77.05,68,4,10.47
41,constitucion,CL,2022-03-11 06:54:10,-35.3333,-72.4167,56.86,73,3,6.33
42,porto nacional,BR,2022-03-11 06:54:11,-10.7081,-48.4172,75.2,97,92,0.54
43,rikitea,PF,2022-03-11 06:54:11,-23.1203,-134.9692,78.35,71,13,6.53
44,kuala terengganu,MY,2022-03-11 06:54:11,5.3302,103.1408,87.75,70,20,8.05
45,busselton,AU,2022-03-11 06:54:12,-33.65,115.3333,90.16,30,4,8.95
46,kaitangata,NZ,2022-03-11 06:54:12,-46.2817,169.8464,70.36,52,100,8.46
47,mahebourg,MU,2022-03-11 06:54:12,-20.4081,57.7,86.25,74,40,8.05
48,san patricio,US,2022-03-11 06:54:12,28.017,-97.5169,66.29,97,86,8.61
49,avarua,CK,2022-03-11 06:50:12,-21.2078,-159.775,78.85,89,100,2.3
50,port hedland,AU,2022-03-11 06:54:13,-20.3167,118.5667,100.45,34,1,13.8
51,tuatapere,NZ,2022-03-11 06:54:13,-46.1333,167.6833,64.54,61,14,5.19
52,norman wells,CA,2022-03-11 06:54:14,65.282,-126.8329,-11.16,70,75,6.91
53,hithadhoo,MV,2022-03-11 06:54:14,-0.6,73.0833,82.81,59,5,6.35
54,te anau,NZ,2022-03-11 06:54:15,-45.4167,167.7167,59.34,76,17,11.32
55,namibe,AO,2022-03-11 06:54:15,-15.1961,12.1522,72.81,83,99,4.56
56,thompson,CA,2022-03-11 06:54:15,55.7435,-97.8558,-16.44,69,40,3.44
57,hobyo,SO,2022-03-11 06:54:16,5.3505,48.5268,82.54,54,82,15.93
58,lumby,CA,2022-03-11 06:54:16,50.2498,-118.969,28.36,64,100,1.14
59,nova olimpia,BR,2022-03-11 06:54:16,-14.7972,-57.2881,70.65,95,100,2.57
60,igarka,RU,2022-03-11 06:54:17,67.4667,86.5833,-9.56,93,100,5.08
61,albany,US,2022-03-11 06:52:38,42.6001,-73.9662,28.22,91,96,2.1
62,benalla,AU,2022-03-11 06:54:17,-36.55,145.9833,76.75,34,1,0.87
63,ous,RU,2022-03-11 06:54:18,60.9058,61.5186,7.39,85,98,8.7
64,guerrero negro,MX,2022-03-11 06:54:18,27.9769,-114.0611,60.4,70,99,18.21
65,arraial do cabo,BR,2022-03-11 06:54:18,-22.9661,-42.0278,76.98,88,8,22.66
66,solaro,IT,2022-03-11 06:54:19,44.8799,9.1732,41.61,75,100,4.43
67,kieta,PG,2022-03-11 06:54:19,-6.2167,155.6333,82.36,71,99,3.2
68,atuona,PF,2022-03-11 06:54:19,-9.8,-139.0333,78.64,80,82,15.39
69,leningradskiy,RU,2022-03-11 06:54:20,69.3833,178.4167,9.12,75,2,6.8
70,hvolsvollur,IS,2022-03-11 06:54:20,63.7533,-20.2243,39.74,93,100,9.93
71,punta arenas,CL,2022-03-11 06:49:40,-53.15,-70.9167,53.71,71,100,4.61
72,clinton,US,2022-03-11 06:54:21,42.587,-82.9199,30.92,85,75,4.61
73,havelock,US,2022-03-11 06:54:21,34.8791,-76.9013,48.18,94,100,4.63
74,nizwa,OM,2022-03-11 06:52:18,22.9333,57.5333,88.99,18,8,6.69
75,puerto ayora,EC,2022-03-11 06:54:21,-0.7393,-90.3518,76.55,95,61,1.34
76,yellowknife,CA,2022-03-11 06:54:22,62.456,-114.3525,-17.88,76,0,3.44
77,dauphin,CA,2022-03-11 06:54:22,51.1494,-100.0502,-2.06,65,100,21.85
78,rafai,CF,2022-03-11 06:54:22,4.95,23.9167,86.04,48,53,2.82
79,khatanga,RU,2022-03-11 06:54:23,71.9667,102.5,-16.06,96,89,5.48
80,escanaba,US,2022-03-11 06:54:09,45.7453,-87.0646,17.91,72,0,4.61
81,karratha,AU,2022-03-11 06:54:23,-20.7377,116.8463,95.43,39,0,13.98
82,carapegua,PY,2022-03-11 06:54:23,-25.8,-57.2333,70.43,98,99,6.15
83,orcopampa,PE,2022-03-11 06:54:24,-15.2661,-72.3417,46.85,84,100,1.57
84,fairbanks,US,2022-03-11 06:53:08,64.8378,-147.7164,1.56,89,56,7.11
85,urusha,RU,2022-03-11 06:54:25,54.05,122.9,20.71,59,79,8.75
86,biskamzha,RU,2022-03-11 06:54:25,53.4497,89.5272,21.13,74,100,5.84
87,develi,TR,2022-03-11 06:54:25,38.3906,35.4922,22.35,90,100,3.47
88,catamarca,AR,2022-03-11 06:54:26,-28.4696,-65.7852,65.77,89,100,2.04
89,anadyr,RU,2022-03-11 06:54:26,64.75,177.4833,25.3,46,0,31.32
90,tiksi,RU,2022-03-11 06:54:26,71.6872,128.8694,-6.61,98,100,4.25
91,pemangkat,ID,2022-03-11 06:54:27,1.1667,108.9667,84.18,69,66,10.92
92,nizhniy kuranakh,RU,2022-03-11 06:54:27,58.8353,125.4869,14.72,80,100,3.04
93,vardo,NO,2022-03-11 06:54:28,70.3705,31.1107,37.65,81,99,25.05
94,saskylakh,RU,2022-03-11 06:54:28,71.9167,114.0833,-18.56,96,100,5.35
95,bambous virieux,MU,2022-03-11 06:54:28,-20.3428,57.7575,86.22,74,40,8.05
96,ponta do sol,PT,2022-03-11 06:54:29,32.6667,-17.1,64.06,75,97,8.08
97,nicoya,CR,2022-03-11 06:54:29,10.1483,-85.452,73.8,83,0,2.39
98,kavieng,PG,2022-03-11 06:54:29,-2.5744,150.7967,83.55,71,100,6.08
99,labuhan,ID,2022-03-11 06:54:30,-6.8844,112.2051,84.83,71,36,9.08
100,olkhovka,RU,2022-03-11 06:54:30,53.2115,60.6069,5.16,91,100,15.46
101,lugovoy,KZ,2022-03-11 06:54:30,42.9472,72.7644,57.4,55,100,9.64
102,rio grande,BR,2022-03-11 06:54:31,-32.035,-52.0986,68.95,85,100,14.9
103,los llanos de aridane,ES,2022-03-11 06:54:31,28.6585,-17.9182,55.15,82,0,5.75
104,okhotsk,RU,2022-03-11 06:54:32,59.3833,143.3,24.6,89,83,4.79
105,belokurikha,RU,2022-03-11 06:54:32,51.9959,84.9896,19.11,90,100,5.48
106,bethel,US,2022-03-11 06:52:26,41.3712,-73.414,32.04,86,0,0.0
107,severo-kurilsk,RU,2022-03-11 06:54:32,50.6789,156.125,30.83,92,100,13.35
108,urumqi,CN,2022-03-11 06:54:33,43.801,87.6005,45.55,61,0,8.95
109,nikolskoye,RU,2022-03-11 06:54:33,59.7035,30.7861,32.88,90,100,8.59
110,kruisfontein,ZA,2022-03-11 06:54:34,-34.0033,24.7314,73.89,59,0,10.92
111,nanortalik,GL,2022-03-11 06:54:34,60.1432,-45.2371,6.51,78,2,12.12
112,hobart,AU,2022-03-11 06:50:06,-42.8794,147.3294,68.02,51,75,8.05
113,marawi,PH,2022-03-11 06:54:34,7.9986,124.2928,76.93,87,97,3.22
114,gold coast,AU,2022-03-11 06:54:35,-28.0,153.4333,75.24,85,78,5.99
115,cap-haitien,HT,2022-03-11 06:54:35,19.7578,-72.2042,75.78,82,70,9.89
116,poum,NC,2022-03-11 06:54:35,-20.2333,164.0167,82.04,74,10,19.6
117,darab,IR,2022-03-11 06:54:36,28.7519,54.5444,76.05,26,100,10.02
118,keti bandar,PK,2022-03-11 06:54:36,24.1447,67.4497,88.02,35,0,5.61
119,wewak,PG,2022-03-11 06:54:36,-3.5534,143.6268,83.5,75,54,6.04
120,faanui,PF,2022-03-11 06:54:37,-16.4833,-151.75,80.78,73,0,10.6
121,pevek,RU,2022-03-11 06:54:37,69.7008,170.3133,-0.62,83,25,4.85
122,qaanaaq,GL,2022-03-11 06:54:37,77.484,-69.3632,-10.89,79,29,6.82
123,lensk,RU,2022-03-11 06:54:38,60.7253,114.9278,9.19,78,100,8.77
124,awjilah,LY,2022-03-11 06:54:38,29.1081,21.2869,51.33,48,46,6.2
125,mehamn,NO,2022-03-11 06:54:38,71.0357,27.8492,39.15,75,75,33.38
126,chokurdakh,RU,2022-03-11 06:54:38,70.6333,147.9167,-8.63,99,100,3.4
127,fortuna,US,2022-03-11 06:54:39,40.5982,-124.1573,41.92,90,0,0.0
128,dikson,RU,2022-03-11 06:54:40,73.5069,80.5464,-8.88,93,100,21.5
129,aleksandrov gay,RU,2022-03-11 06:54:40,50.147,48.5704,19.13,91,100,15.3
130,nemuro,JP,2022-03-11 06:54:41,43.3236,145.575,35.26,87,100,18.37
131,diglur,IN,2022-03-11 06:54:41,18.55,77.6,93.4,23,5,5.95
132,wana,PK,2022-03-11 06:54:41,32.2989,69.5725,69.75,30,4,5.26
133,tiznit,MA,2022-03-11 06:54:42,29.5833,-9.5,48.99,72,0,1.05
134,talnakh,RU,2022-03-11 06:54:42,69.4865,88.3972,-12.8,95,60,8.23
135,miles city,US,2022-03-11 06:54:42,46.4083,-105.8406,10.83,69,100,10.38
136,bardiyah,LY,2022-03-11 06:54:43,31.7561,25.0865,52.72,57,100,14.52
137,ribeira grande,PT,2022-03-11 06:54:43,38.5167,-28.7,58.28,69,100,17.13
138,creel,MX,2022-03-11 06:54:43,27.75,-107.6333,29.8,28,0,7.27
139,lavrentiya,RU,2022-03-11 06:54:44,65.5833,-171.0,8.46,74,0,13.67
140,taft,IR,2022-03-11 06:54:44,31.7471,54.2088,76.95,18,75,18.41
141,barrow,US,2022-03-11 06:54:44,71.2906,-156.7887,-14.62,96,44,7.87
142,saldanha,ZA,2022-03-11 06:54:45,-33.0117,17.9442,68.05,60,100,3.15
143,hilpoltstein,DE,2022-03-11 06:54:45,49.19,11.1886,32.4,57,37,9.66
144,rundu,NA,2022-03-11 06:54:46,-17.9333,19.7667,68.13,88,95,5.97
145,souillac,MU,2022-03-11 06:54:46,-20.5167,57.5167,84.58,74,40,8.05
146,arosa,CH,2022-03-11 06:54:47,46.7779,9.6762,25.27,89,99,9.42
